Gen,Year,Trait1,Trait2,Trait3,Trait4,Trait5
IBG10-1,2020,12,12,58,63,85
IBG10-2,2020,9,9,62,67,96
IBG10-3,2020,12,12,56,63,96
IBG11-1,2020,10,10,56,60,95
IBG11-2,2020,9,9,56,60,102
IBG11-3,2020,10,10,57,60,97
IBG12-1,2020,10,10,50,59,84
IBG12-2,2020,11,11,53,56,84
IBG12-3,2020,12,12,57,60,92
IBG126-1,2020,11,10,51,58,84
IBG126-2,2020,12,12,51,63,94
IBG126-3,2020,13,13,52,59,91
IBG14-1,2020,13,13,56,60,87
IBG14-2,2020,11,11,52,60,84
IBG14-3,2020,13,13,58,66,98
IBG15-1,2020,12,12,59,70,91
IBG15-2,2020,12,12,53,58,88
IBG15-3,2020,13,13,59,63,90
IBG153-1,2020,14,14,56,63,85
IBG153-2,2020,11,9,58,64,101
IBG153-3,2020,13,12,56,60,97
IBG154-1,2020,10,10,50,56,84
IBG154-2,2020,10,10,59,63,85
IBG154-3,2020,10,10,52,59,87
IBG16-1,2020,12,12,59,66,91
IBG16-2,2020,11,10,56,64,92
IBG16-3,2020,12,11,59,63,93
IBG17-1,2020,12,12,58,63,87
IBG17-2,2020,12,12,56,60,92
IBG17-3,2020,11,11,58,63,94
IBG18-1,2020,11,11,53,64,86
IBG18-2,2020,12,11,53,59,84
IBG18-3,2020,14,14,56,61,84
IBG19-1,2020,10,10,57,63,89
IBG19-2,2020,13,13,56,60,88
IBG19-3,2020,12,12,56,63,94
IBG2-1,2020,12,12,63,70,94
IBG2-2,2020,12,12,52,60,85
IBG2-3,2020,12,12,52,58,86
IBG21-1,2020,12,12,56,60,92
IBG21-2,2020,11,12,52,63,97
IBG21-3,2020,12,12,53,60,94
IBG22-1,2020,11,11,51,66,86
IBG22-2,2020,13,13,52,60,94
IBG22-3,2020,12,12,56,63,94
IBG26-1,2020,13,12,57,63,95
IBG26-2,2020,12,12,56,60,89
IBG26-3,2020,14,14,56,63,99
IBG3-1,2020,12,12,53,60,84
IBG3-2,2020,13,13,58,63,96
IBG3-3,2020,13,13,56,63,88
IBG30-1,2020,12,11,56,65,86
IBG30-2,2020,8,8,50,64,87
IBG30-3,2020,12,12,53,60,86
IBG31-1,2020,11,11,53,58,84
IBG31-2,2020,13,13,58,63,93
IBG31-3,2020,13,12,51,58,86
IBG32-1,2020,10,10,57,66,92
IBG32-2,2020,9,9,58,64,99
IBG32-3,2020,9,9,56,64,90
IBG33-1,2020,10,10,60,69,95
IBG33-2,2020,11,11,58,63,102
IBG33-3,2020,13,12,63,63,100
IBG4-1,2020,13,12,59,63,84
IBG4-2,2020,12,12,57,63,91
IBG4-3,2020,10,9,56,63,92
IBG43-1,2020,12,12,60,67,97
IBG43-2,2020,10,10,60,70,104
IBG43-3,2020,13,13,59,63,105
IBG48-1,2020,12,12,51,60,84
IBG48-2,2020,12,12,53,58,86
IBG48-3,2020,12,12,53,58,84
IBG5-1,2020,12,12,59,70,100
IBG5-2,2020,11,11,64,72,103
IBG5-3,2020,14,14,53,63,99
IBG51-1,2020,11,11,51,60,92
IBG51-2,2020,12,12,53,63,84
IBG51-3,2020,11,11,56,60,84
IBG53-1,2020,13,13,53,60,84
IBG53-2,2020,13,12,60,63,99
IBG53-3,2020,14,29,53,63,84
IBG6-1,2020,12,12,56,60,86
IBG6-2,2020,10,9,59,67,99
IBG6-3,2020,12,12,58,63,94
IBG7-1,2020,5,5,79,115,126
IBG7-2,2020,5,5,77,84,121
IBG7-3,2020,6,5,72,78,126
IBG9-1,2020,13,12,58,69,92
IBG9-2,2020,11,11,53,63,84
IBG9-3,2020,11,10,53,58,88
IKG10-1,2020,13,13,79,83,118
IKG10-2,2020,13,13,77,82,116
IKG10-3,2020,12,11,76,83,119
IKG11-1,2020,9,9,76,78,119
IKG11-2,2020,11,11,67,74,113
IKG11-3,2020,12,12,75,78,117
IKG12-1,2020,12,12,76,79,117
IKG12-2,2020,10,10,75,88,124
IKG12-3,2020,12,11,75,78,118
IKG126-1,2020,13,12,62,80,111
IKG126-2,2020,12,11,61,74,108
IKG126-3,2020,10,10,68,74,112
IKG14-1,2020,12,12,74,78,121
IKG14-2,2020,13,12,73,78,112
IKG14-3,2020,12,11,74,82,120
IKG15-1,2020,13,13,82,90,113
IKG15-2,2020,12,12,76,82,121
IKG15-3,2020,14,12,76,79,119
IKG153-1,2020,13,12,69,76,107
IKG153-2,2020,12,12,78,85,120
IKG153-3,2020,13,12,60,76,111
IKG154-1,2020,11,11,76,80,115
IKG154-2,2020,12,12,60,76,108
IKG154-3,2020,11,11,60,73,107
IKG16-1,2020,11,10,83,93,123
IKG16-2,2020,10,9,81,89,121
IKG16-3,2020,10,10,71,75,108
IKG17-1,2020,12,11,72,77,119
IKG17-2,2020,12,12,63,87,105
IKG17-3,2020,10,10,76,82,120
IKG18-1,2020,12,12,70,84,115
IKG18-2,2020,12,12,61,70,98
IKG18-3,2020,13,12,75,77,118
IKG19-1,2020,12,11,59,80,113
IKG19-2,2020,12,11,74,85,115
IKG19-3,2020,10,10,62,86,109
IKG2-1,2020,12,13,72,84,113
IKG2-2,2020,12,12,76,84,114
IKG2-3,2020,11,11,60,89,121
IKG21-1,2020,12,12,55,62,93
IKG21-2,2020,12,12,62,84,100
IKG21-3,2020,12,12,75,88,121
IKG22-1,2020,13,13,64,74,106
IKG22-2,2020,13,12,62,78,103
IKG22-3,2020,13,13,68,72,111
IKG26-1,2020,13,12,74,84,121
IKG26-2,2020,13,13,62,82,107
IKG26-3,2020,11,11,68,73,107
IKG3-1,2020,12,12,74,78,119
IKG3-2,2020,13,12,73,87,119
IKG3-3,2020,11,11,73,86,112
IKG30-1,2020,13,12,59,79,111
IKG30-2,2020,11,11,75,78,109
IKG30-3,2020,12,12,70,82,110
IKG31-1,2020,14,14,75,78,114
IKG31-2,2020,14,14,75,78,113
IKG31-3,2020,13,13,68,84,109
IKG32-1,2020,8,8,72,80,121
IKG32-2,2020,8,7,68,79,117
IKG32-3,2020,9,9,73,76,120
IKG33-1,2020,11,11,75,88,122
IKG33-2,2020,11,11,60,87,106
IKG33-3,2020,10,9,81,91,121
IKG4-1,2020,13,13,75,77,119
IKG4-2,2020,12,11,75,81,118
IKG4-3,2020,9,9,74,77,117
IKG43-1,2020,12,12,73,87,115
IKG43-2,2020,9,8,77,92,123
IKG43-3,2020,11,11,76,86,121
IKG48-1,2020,11,11,74,80,116
IKG48-2,2020,13,13,75,79,119
IKG48-3,2020,13,13,75,79,108
IKG5-1,2020,10,10,75,82,117
IKG5-2,2020,12,11,76,85,116
IKG5-3,2020,11,10,72,83,113
IKG51-1,2020,12,12,73,80,116
IKG51-2,2020,11,11,75,80,115
IKG51-3,2020,13,13,67,72,110
IKG53-1,2020,10,10,60,85,113
IKG53-2,2020,12,12,72,87,117
IKG53-3,2020,13,12,74,78,115
IKG6-1,2020,10,10,69,87,101
IKG6-2,2020,10,10,75,86,111
IKG6-3,2020,11,11,77,85,119
IKG7-1,2020,5,5,97,103,148
IKG7-2,2020,6,6,102,111,159
IKG7-3,2020,5,5,99,109,154
IKG9-1,2020,12,11,69,78,117
IKG9-2,2020,12,12,69,87,117
IKG9-3,2020,10,9,75,85,117
IBG10-1,2021,14,14,74,78,95
IBG10-2,2021,13,13,72,88,108
IBG10-3,2021,14,14,68,88,115
IBG11-1,2021,11,10,72,75,99
IBG11-2,2021,12,11,66,75,116
IBG11-3,2021,11,11,66,75,105
IBG12-1,2021,12,12,72,72,105
IBG12-2,2021,10,10,68,82,125
