env,rep,gen,yield
E3,R1,G01,449.4
E3,R1,G02,457.84
E3,R1,G03,545.45
E3,R1,G04,546.92
E3,R1,G05,784.27
E3,R1,G06,501.1
E3,R1,G07,1098.97
E3,R1,G08,882.42
E3,R1,G09,820.68
E3,R1,G10,918.2
E3,R1,G11,997.25
E3,R1,G12,595.64
E3,R1,G13,1187.42
E3,R1,G14,804.97
E3,R1,G15,727.23
E3,R1,G16,459.65
E3,R1,G17,599
E3,R1,G18,1327.45
E3,R2,G01,440.62
E3,R2,G02,515.34
E3,R2,G03,962.56
E3,R2,G04,908.08
E3,R2,G05,444.36
E3,R2,G06,295.59
E3,R2,G07,937.06
E3,R2,G08,579.89
E3,R2,G09,697.83
E3,R2,G10,709.76
E3,R2,G11,557.84
E3,R2,G12,432.89
E3,R2,G13,620.71
E3,R2,G14,532.64
E3,R2,G15,646.57
E3,R2,G16,648.48
E3,R2,G17,163.59
E3,R2,G18,895.1
E3,R3,G01,663.81
E3,R3,G02,625.93
E3,R3,G03,932.53
E3,R3,G04,671.24
E3,R3,G05,700.09
E3,R3,G06,195.59
E3,R3,G07,798.29
E3,R3,G08,795.27
E3,R3,G09,740.16
E3,R3,G10,692.33
E3,R3,G11,743.36
E3,R3,G12,703.71
E3,R3,G13,825.03
E3,R3,G14,523.61
E3,R3,G15,732.65
E3,R3,G16,421.3
E3,R3,G17,286.94
E3,R3,G18,1110.06
E3,R4,G01,773.59
E3,R4,G02,462.25
E3,R4,G03,779.18
E3,R4,G04,870.78
E3,R4,G05,642.91
E3,R4,G06,266.32
E3,R4,G07,913.92
E3,R4,G08,707.95
E3,R4,G09,993.97
E3,R4,G10,633.78
E3,R4,G11,614.12
E3,R4,G12,423.69
E3,R4,G13,666.96
E3,R4,G14,470.44
E3,R4,G15,479.85
E3,R4,G16,889.22
E3,R4,G17,91.26
E3,R4,G18,787.92
